Objetivo 1, Objetivo 2
1.170401555415130872e+02,4.261110628984701520e+02
1.071699637870511879e+03,-6.226828730904931035e+02
-1.072095747443790970e+02,7.769318850830977681e+02
3.987486126289928166e+02,2.560759702374376161e+02
1.542905834853275337e+03,-9.426847471546085444e+02
-3.907797349359746164e+01,7.364905804832699232e+02
1.273945793187663412e+03,-5.462721757497673707e+02
2.923446871014347153e+02,4.779448100186925217e+02
1.576825891754294389e+03,-1.019313948542742764e+03
1.316882809245631506e+03,-7.129746835165526591e+02
6.026469718666502331e+02,-2.846054171747046553e+02
8.101383400870457763e+02,-3.322120301344360769e+02
9.010896093149625585e+01,5.412146018292058898e+02
1.127935968031198399e+03,-2.537591945847927093e+02
3.375544235124423835e+02,3.455425019106890545e+02
9.366852174006329506e+02,-4.904435028486026340e+02
9.452370708864384596e+01,5.292665899024949567e+02
1.061164444006936947e+03,-6.593004294482561818e+02
9.072359683485379378e+01,7.751351729275015714e+02
9.179150464610981999e+02,-5.018806428087885934e+02
1.655239655719684322e+02,4.737646922207388798e+02
1.029735997664201022e+03,-6.008801550839647234e+02
3.836258614762650723e+02,2.343162332006490089e+02
8.044709041022058216e+01,5.793625211978173866e+02
9.398686572346148296e+02,-4.647140270282430379e+02
1.170744182541096961e+03,-5.558237190633496994e+02
4.669676695194460763e+02,-1.181195244233409625e+02
-9.435291850870603980e+01,7.475726758855288381e+02
2.944309586801656451e+02,3.702654171874045801e+02
3.271598595888916066e+02,2.720119282028674093e+02
1.619321309514135976e+02,6.620456811149127816e+02
2.219070125582389892e+02,4.773572371707298885e+02
1.228929576925892775e+02,5.108302793911971094e+02
8.421883827667356854e+02,-4.169595785781361883e+02
1.388738764122060729e+03,-8.461554912379924644e+02
5.494592327447662683e+02,2.550032703504122367e+02
1.461848380478733134e+03,-8.280623056168527683e+02
2.654014677967531100e+01,7.349183039989931103e+02
1.015179690925552109e+03,-5.453258177335083019e+02
8.810357040881982016e+01,5.899211826585127483e+02
1.241818982561038183e+03,-5.213086665335483758e+02
3.847595506243307000e+02,3.860368161092044375e+02
8.704637843224570588e+02,-4.070019923447179053e+02
7.624664026623596556e+02,-2.244741350424703796e+02
5.304021086004962626e+02,-2.858518472698825121e+02
3.920233412421630703e+01,6.235842772465489361e+02
1.033142104274668100e+03,-4.539675866489265559e+02
8.170074005537367157e+02,-4.570255973629480195e+02
5.714587992236057090e+01,5.926706307758314551e+02
1.107494845079516608e+03,-6.347775605803632288e+02
1.355189702995675134e+03,-7.820242928375249676e+02
7.097004826813561351e+01,8.159388403613424998e+02
1.371970021202808539e+03,-7.666815632216320182e+02
1.372192092900003672e+03,-6.482950719829140098e+02
4.374142264796219592e+02,1.088767098681777696e+02
1.336135650117860507e+02,3.818467023208590376e+02
9.418380937617434938e+02,-5.279625862866838588e+02
1.270783379605732080e+03,-7.259514789442462188e+02
1.169434384230890373e+03,-6.490749799883666356e+02
1.196130771863853170e+03,-5.515998896890600918e+02
3.227659829204551443e+02,4.178811820674324053e+02
1.320027385067124328e+02,4.705158263758673343e+02
1.384477991861176861e+03,-6.594386882743851857e+02
4.811274321375814225e+02,-2.076624252505101822e+02
1.191040917740885789e+03,-5.598791498138268707e+02
9.345872476746817483e+02,-5.299038427518685239e+02
9.760814805829007810e+02,-5.274952520292869167e+02
-8.334742265578235276e+01,7.581569768289260765e+02
9.109675984594396141e+02,-2.875735118490503623e+02
1.231974375817194868e+03,-5.171200150494444188e+02
2.730768905197903678e+02,2.458034461483973701e+02
1.282318907014361230e+03,-4.784784653459061587e+02
-4.526880850842476178e+01,5.673197815691337382e+02
1.703444686610725682e+02,4.160070623353702217e+02
2.418091282946830347e+02,3.218741670905013734e+02
1.107534066285750669e+03,-6.322075873348273944e+02
1.955744195678513790e+02,3.722447715088197242e+02
7.712333705395807328e+02,-3.823585252887859269e+02
7.848034221990057802e+01,6.967348832339953333e+02
5.630036678008045783e+02,-2.499810707299980379e+02
-4.326302112551279322e+01,8.660177841433909407e+02
1.328696654158043202e+03,-8.060958484855856341e+02
1.174703049809962522e+03,-6.448254751601533599e+02
7.349846476437779756e+02,-3.259596230197238356e+02
3.148409411640805047e+02,2.175213001283591723e+02
3.092203395563408321e+02,2.857804375887710648e+02
9.001859677589158082e+02,-3.530464306052737697e+02
1.423527277540973159e+02,4.258576605116472251e+02
1.447113285664180239e+03,-8.119731759126649422e+02
7.163167058314058089e+00,6.240115271224582330e+02
6.085133542471731971e+02,-3.271022460452625751e+02
1.412366724901580938e+03,-8.572362575981125019e+02
-1.487412870268822473e+02,8.159718081057130803e+02
1.758037994719132257e+03,-1.074747864901858520e+03
2.507092921064548818e+02,3.389822722764323544e+02
-4.766163939486709467e+01,5.571159833574607774e+02
1.397749977585604256e+03,-6.263257107282095149e+02
1.187710101492463991e+03,-6.992605120251735116e+02
1.167994704671848467e+03,-6.406158034903270391e+02
1.680492209941763122e+03,-9.153333177058188994e+02
